scenario,agent_id,hour,vulnerability_score,age_bucket,cell_x,cell_y,raw_heat,effective_exposure,in_shelter,shelter_building_id
proactive,107,0,0.5631658536919568,child,4,0,0.5055,0.5055,0,
proactive,108,0,0.23073770055214435,adult,4,8,0.0,0.0,0,
proactive,109,0,0.29657377246189087,adult,2,9,0.0057,0.0057,0,
proactive,110,0,0.27279255604127917,adult,7,4,0.2629,0.2629,0,
proactive,111,0,0.5291861555650081,child,13,5,0.2721,0.2721,0,
proactive,112,0,0.8908951292054481,elderly,16,1,0.5169,0.5169,0,
proactive,113,0,0.5158957569432061,child,12,4,0.3934,0.3934,0,
proactive,114,0,0.8593264155201461,elderly,14,8,0.0483,0.0483,0,
proactive,115,0,0.32052011433136096,adult,18,6,0.2588,0.2588,0,
proactive,116,0,0.5844185905950111,child,19,1,0.5475,0.5475,0,
proactive,117,0,0.24225311600942953,adult,12,5,0.4681,0.4681,0,
proactive,118,0,0.2089072670144541,adult,10,8,0.0,0.0,0,
proactive,119,0,0.9022295288833049,elderly,14,9,0.0007,0.0007,0,
proactive,120,0,0.5289935218684951,child,14,4,0.1687,0.1687,0,
proactive,121,0,0.42582414868915897,adult,5,3,0.2288,0.2288,0,
proactive,122,0,0.321155028793213,adult,6,5,0.1902,0.1902,0,
proactive,123,0,0.6995000220419753,child,14,0,0.5549,0.5549,0,
proactive,124,0,0.562529225395729,child,5,9,0.0,0.0,0,
proactive,125,0,0.8475195178808403,elderly,17,2,0.473,0.473,0,
proactive,126,0,0.5540215869676903,child,15,3,0.2004,0.2004,0,
proactive,127,0,0.766520446349269,elderly,10,9,0.0,0.0,0,
proactive,128,0,0.7416409671545062,elderly,16,9,0.0036,0.0036,0,
proactive,129,0,0.1865474786824886,adult,4,0,0.5055,0.5055,0,
proactive,130,0,0.5991072876975088,child,4,8,0.0,0.0,0,
proactive,131,0,0.6713434192845964,child,1,9,0.0,0.0,0,
proactive,132,0,0.26809246029419453,adult,14,3,0.1603,0.1603,0,
proactive,133,0,0.22890676933880374,adult,3,8,0.0,0.0,0,
proactive,134,0,0.21223556584054845,adult,10,5,0.4188,0.4188,0,
proactive,135,0,0.4871906993496808,child,10,4,0.4084,0.4084,0,
proactive,136,0,0.5813838397364346,child,19,9,0.0757,0.0757,0,
proactive,137,0,0.1834367475007917,adult,17,1,0.5227,0.5227,0,
proactive,138,0,0.30240291417804127,adult,13,6,0.1967,0.1967,0,
proactive,139,0,0.28188702499195395,adult,11,0,0.5351,0.5351,0,
proactive,140,0,0.3042444979413341,adult,13,6,0.1967,0.1967,0,
proactive,141,0,0.2410183959966361,adult,10,5,0.4188,0.4188,0,
proactive,142,0,0.25779477773074466,adult,18,7,0.034,0.034,0,
proactive,143,0,0.2024052019176551,adult,7,8,0.0,0.0,0,
proactive,144,0,0.8349906142726966,elderly,2,5,0.1907,0.1907,0,
proactive,145,0,0.23016660216907392,adult,9,7,0.0173,0.0173,0,
proactive,146,0,0.22633729077264053,adult,12,0,0.5045,0.5045,0,
proactive,147,0,0.18671782350320223,adult,15,5,0.185,0.185,0,
proactive,148,0,0.3265717377596302,adult,9,0,0.4988,0.4988,0,
proactive,149,0,0.5931363866533521,child,7,3,0.1951,0.1951,0,
proactive,150,0,0.33786967348278196,adult,10,7,0.0247,0.0247,0,
proactive,151,0,0.24434311120662164,adult,10,4,0.4084,0.4084,0,
proactive,152,0,0.3131721899623074,adult,3,3,0.1596,0.1596,0,
proactive,153,0,0.30482733918353766,adult,12,7,0.0423,0.0423,0,
proactive,154,0,0.5207407229993698,child,8,8,0.0583,0.0583,0,
proactive,155,0,0.2698840835350667,adult,10,4,0.4084,0.4084,0,
proactive,156,0,0.21854549526592404,adult,14,6,0.2629,0.2629,0,
proactive,157,0,0.7800885741958227,elderly,2,2,0.4366,0.4366,0,
proactive,158,0,0.22376698635368497,adult,19,9,0.0757,0.0757,0,
proactive,159,0,0.2490942753506871,adult,14,5,0.1361,0.1361,0,
proactive,160,0,0.23909707064169694,adult,8,3,0.444,0.444,0,
proactive,161,0,0.26816184340335836,adult,10,9,0.0,0.0,0,
proactive,162,0,0.5590101392326462,child,12,5,0.4681,0.4681,0,
proactive,163,0,0.2586620552478868,adult,12,8,0.0,0.0,0,
proactive,164,0,0.21874748549033007,adult,0,8,0.0,0.0,0,
proactive,165,0,0.26806801780654776,adult,4,2,0.4387,0.4387,0,
proactive,166,0,0.31453748099041595,adult,18,6,0.2588,0.2588,0,
proactive,167,0,0.5571003562232809,child,8,9,0.0327,0.0327,0,
proactive,168,0,0.28556981755657285,adult,18,2,0.5315,0.5315,0,
proactive,169,0,0.20289864310003097,adult,9,9,0.0,0.0,0,
proactive,170,0,0.2591235835153987,adult,14,4,0.1687,0.1687,0,
proactive,171,0,0.5403518780488572,child,11,0,0.5351,0.5351,0,
proactive,172,0,0.19710832762003697,adult,5,7,0.0334,0.0334,0,
proactive,173,0,0.7370654202189683,elderly,17,7,0.0,0.0,0,
proactive,174,0,0.5944522686442528,child,14,7,0.0,0.0,0,
proactive,175,0,0.27508362578769247,adult,12,7,0.0423,0.0423,0,
proactive,176,0,0.19711151507617047,adult,5,5,0.2341,0.2341,0,
proactive,177,0,0.2626617426734974,adult,8,9,0.0327,0.0327,0,
proactive,178,0,0.2950995521960962,adult,0,0,0.5001,0.5001,0,
proactive,179,0,0.3774069229558558,adult,15,3,0.2004,0.2004,0,
proactive,180,0,0.7054964868146433,elderly,14,7,0.0,0.0,0,
proactive,181,0,0.5168708354178837,child,9,7,0.0173,0.0173,0,
proactive,182,0,0.22452710037794926,adult,6,2,0.5064,0.5064,0,
proactive,183,0,0.24281444929542967,adult,18,8,0.0191,0.0191,0,
proactive,184,0,0.20656651882118987,adult,17,2,0.473,0.473,0,
proactive,185,0,0.895735664587469,elderly,6,7,0.0573,0.0573,0,
proactive,186,0,0.26608149821206883,adult,18,4,0.1924,0.1924,0,
proactive,187,0,0.22885027121419005,adult,5,9,0.0,0.0,0,
proactive,188,0,0.25818280463696514,adult,13,2,0.5065,0.5065,0,
proactive,189,0,0.25124888164635667,adult,12,7,0.0423,0.0423,0,
proactive,190,0,0.7388637748744878,elderly,15,1,0.4837,0.4837,0,
proactive,191,0,0.24355609940976028,adult,19,2,0.5483,0.5483,0,
proactive,192,0,0.2622858672661557,adult,12,4,0.3934,0.3934,0,
proactive,193,0,0.3114225338599181,adult,16,3,0.1273,0.1273,0,
proactive,194,0,0.7432938913438611,child,19,2,0.5483,0.5483,0,
proactive,195,0,0.26317722516719005,adult,19,2,0.5483,0.5483,0,
proactive,196,0,0.2246770526955429,adult,1,6,0.1328,0.1328,0,
proactive,197,0,0.5584044178321356,child,5,8,0.0719,0.0719,0,
proactive,198,0,0.2514953170246483,adult,6,5,0.1902,0.1902,0,
proactive,199,0,0.2899733601941726,adult,2,5,0.1907,0.1907,0,
proactive,200,0,0.25622285847923476,adult,12,3,0.3501,0.3501,0,
proactive,201,0,0.4521031631709903,adult,10,2,0.5082,0.5082,0,
proactive,202,0,0.1634121024151908,adult,17,7,0.0,0.0,0,
proactive,203,0,0.5626995559129596,child,3,3,0.1596,0.1596,0,
proactive,204,0,0.327120941806494,adult,2,6,0.0742,0.0742,0,
proactive,205,0,0.7857123878054436,elderly,5,5,0.2341,0.2341,0,
proactive,206,0,0.5939394270629585,child,12,1,0.4704,0.4704,0,
proactive,207,0,0.28709923820747085,adult,18,8,0.0191,0.0191,0,
proactive,208,0,0.39542716557746904,adult,9,9,0.0,0.0,0,
proactive,209,0,0.27359697560694635,adult,10,8,0.0,0.0,0,
proactive,210,0,0.9020130166851742,elderly,7,6,0.1836,0.1836,0,
proactive,211,0,0.2713101047676122,adult,13,6,0.1967,0.1967,0,
proactive,212,0,0.24736743242291168,adult,1,0,0.5245,0.5245,0,
proactive,213,0,0.6794396779816514,elderly,0,0,0.5001,0.5001,0,
proactive,214,0,0.30091251551864373,adult,15,7,0.0,0.0,0,
proactive,215,0,0.21670540748307351,adult,2,0,0.4079,0.4079,0,
