hour_of_year,day,hour_of_day,hour_label,energy_consumed_wh,energy_consumed_kwh,average_power_kw,active_vehicles,active_vehicle_records
216,10,0,year hour 0216,84257.97,84.25797,84.25797,627.0,56190.0
217,10,1,year hour 0217,67763.65,67.76365,67.76365,602.0,52182.0
218,10,2,year hour 0218,67864.3,67.8643,67.8643,601.0,52088.0
219,10,3,year hour 0219,67591.19,67.59119,67.59119,601.0,52786.0
220,10,4,year hour 0220,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
221,10,5,year hour 0221,68040.49,68.04049,68.04049,601.0,53095.0
222,10,6,year hour 0222,71032.18,71.03218,71.03218,607.0,53189.0
223,10,7,year hour 0223,68068.45,68.06845,68.06845,595.0,52165.0
224,10,8,year hour 0224,69069.68000000001,69.06968,69.06968,604.0,53833.0
225,10,9,year hour 0225,67953.64,67.95364,67.95364,604.0,52529.0
226,10,10,year hour 0226,67944.94,67.94494,67.94494,602.0,52535.0
227,10,11,year hour 0227,67802.9,67.8029,67.8029,588.0,52375.0
228,10,12,year hour 0228,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
229,10,13,year hour 0229,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
230,10,14,year hour 0230,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
231,10,15,year hour 0231,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
232,10,16,year hour 0232,69555.96,69.55596,69.55596,608.0,53372.0
233,10,17,year hour 0233,68005.42,68.00542,68.00542,598.0,52153.0
234,10,18,year hour 0234,70931.0,70.931,70.931,607.0,53552.0
235,10,19,year hour 0235,67678.63,67.67863,67.67863,599.0,52674.0
236,10,20,year hour 0236,68076.09,68.07609,68.07609,599.0,52651.0
237,10,21,year hour 0237,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
238,10,22,year hour 0238,67821.74,67.82174,67.82174,604.0,52967.0
239,10,23,year hour 0239,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
240,11,0,year hour 0240,84257.97,84.25797,84.25797,627.0,56190.0
241,11,1,year hour 0241,67763.65,67.76365,67.76365,602.0,52182.0
242,11,2,year hour 0242,67864.3,67.8643,67.8643,601.0,52088.0
243,11,3,year hour 0243,67591.19,67.59119,67.59119,601.0,52786.0
244,11,4,year hour 0244,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
245,11,5,year hour 0245,68040.49,68.04049,68.04049,601.0,53095.0
246,11,6,year hour 0246,71032.18,71.03218,71.03218,607.0,53189.0
247,11,7,year hour 0247,68068.45,68.06845,68.06845,595.0,52165.0
248,11,8,year hour 0248,69069.68000000001,69.06968,69.06968,604.0,53833.0
249,11,9,year hour 0249,67953.64,67.95364,67.95364,604.0,52529.0
250,11,10,year hour 0250,67944.94,67.94494,67.94494,602.0,52535.0
251,11,11,year hour 0251,67802.9,67.8029,67.8029,588.0,52375.0
252,11,12,year hour 0252,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
253,11,13,year hour 0253,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
254,11,14,year hour 0254,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
255,11,15,year hour 0255,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
256,11,16,year hour 0256,69555.96,69.55596,69.55596,608.0,53372.0
257,11,17,year hour 0257,68005.42,68.00542,68.00542,598.0,52153.0
258,11,18,year hour 0258,70931.0,70.931,70.931,607.0,53552.0
259,11,19,year hour 0259,67678.63,67.67863,67.67863,599.0,52674.0
260,11,20,year hour 0260,68076.09,68.07609,68.07609,599.0,52651.0
261,11,21,year hour 0261,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
262,11,22,year hour 0262,67821.74,67.82174,67.82174,604.0,52967.0
263,11,23,year hour 0263,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
264,12,0,year hour 0264,84257.97,84.25797,84.25797,627.0,56190.0
265,12,1,year hour 0265,67763.65,67.76365,67.76365,602.0,52182.0
266,12,2,year hour 0266,67864.3,67.8643,67.8643,601.0,52088.0
267,12,3,year hour 0267,67591.19,67.59119,67.59119,601.0,52786.0
268,12,4,year hour 0268,68144.07,68.14407000000001,68.14407000000001,601.0,52279.0
269,12,5,year hour 0269,68040.49,68.04049,68.04049,601.0,53095.0
270,12,6,year hour 0270,71032.18,71.03218,71.03218,607.0,53189.0
271,12,7,year hour 0271,68068.45,68.06845,68.06845,595.0,52165.0
272,12,8,year hour 0272,69069.68000000001,69.06968,69.06968,604.0,53833.0
273,12,9,year hour 0273,67953.64,67.95364,67.95364,604.0,52529.0
274,12,10,year hour 0274,67944.94,67.94494,67.94494,602.0,52535.0
275,12,11,year hour 0275,67802.9,67.8029,67.8029,588.0,52375.0
276,12,12,year hour 0276,81722.33,81.72233000000001,81.72233000000001,620.0,54880.0
277,12,13,year hour 0277,67952.15,67.95214999999999,67.95214999999999,600.0,52484.0
278,12,14,year hour 0278,67660.66,67.66066000000001,67.66066000000001,601.0,53191.0
279,12,15,year hour 0279,68569.25,68.56924999999998,68.56924999999998,595.0,52507.0
280,12,16,year hour 0280,69555.96,69.55596,69.55596,608.0,53372.0
281,12,17,year hour 0281,68005.42,68.00542,68.00542,598.0,52153.0
282,12,18,year hour 0282,70931.0,70.931,70.931,607.0,53552.0
283,12,19,year hour 0283,67678.63,67.67863,67.67863,599.0,52674.0
284,12,20,year hour 0284,68076.09,68.07609,68.07609,599.0,52651.0
285,12,21,year hour 0285,67722.46,67.72246000000001,67.72246000000001,602.0,53040.0
286,12,22,year hour 0286,67821.74,67.82174,67.82174,604.0,52967.0
287,12,23,year hour 0287,66036.23,66.03622999999999,66.03622999999999,582.0,51731.0
288,13,0,year hour 0288,84257.97,84.25797,84.25797,627.0,56190.0
